predict_price,real_price
10.4865,10.6
9.3967,10.7
11.6171,19.5
11.1681,20.7
11.3739,20.7
9.8697,20.8
9.8182,20.7
11.3709,20.8
10.9219,25.4
9.7968,14.2
7.936,23.0
8.7944,23.0
9.6735,14.4
7.5342,13.3
7.6128,12.9
9.0262,22.8
9.3925,10.7
9.3274,3.0
9.0397,2.9
10.0721,1.8
9.4431,-10.4
9.062,14.9
8.1229,15.1
8.8692,18.5
8.4711,20.4
7.7885,20.4
9.2385,20.4
9.1181,22.4
9.1945,20.4
9.19,20.4
9.6998,20.4
9.9782,22.2
9.8005,-0.1
9.2673,8.9
10.0463,11.5
11.1633,13.4
10.895,31.3
10.0374,35.1
11.8912,22.4
12.6732,23.5
13.3242,33.0
12.5745,27.2
13.5484,24.7
13.4953,33.6
13.862,33.5
13.8848,33.6
14.158,36.9
15.1276,27.3
15.2738,27.3
14.6658,27.4
16.2411,33.4
16.9968,34.7
18.5931,34.1
17.1042,37.6
17.3493,37.7
18.2415,38.0
18.9691,38.9
18.3757,28.3
17.5711,28.0
17.4591,28.4
18.034,28.0
16.0666,28.8
18.1655,31.0
18.4787,31.2
20.5914,34.0
18.5752,37.4
19.4238,38.0
21.1982,26.7
21.7348,23.0
20.4731,17.8
18.3021,16.7
20.6392,14.6
20.0606,15.0
19.5339,39.9
20.8627,15.0
21.8529,15.0
24.2587,28.8
20.0641,17.4
20.9801,17.4
23.73,17.4
23.478,17.4
22.4032,17.3
19.6487,15.0
21.1411,13.8
19.5025,14.1
19.0517,15.1
19.6653,17.7
19.8003,19.1
20.1559,21.1
19.3312,21.1
18.2858,22.8
20.4384,22.2
17.8559,23.4
17.7051,20.7
14.6444,20.5
17.2474,18.0
14.8831,15.2
14.8713,15.2
13.7733,16.9
14.7681,17.0
14.8885,16.9
14.5081,16.9
11.8697,15.9
14.8988,14.9
13.4883,23.7
13.0326,14.9
10.4761,23.7
13.6036,15.0
11.0256,23.8
10.9251,24.8
10.7609,27.1
12.7543,16.0
12.5142,15.0
12.1811,15.0
11.4025,14.7
13.8378,12.9
12.5485,12.8
12.6283,9.3
12.5501,8.0
14.4994,6.7
12.1224,6.0
11.7544,5.0
12.7041,4.8
14.2123,3.3
13.7705,6.7
14.1231,15.8
14.5281,3.0
15.5135,2.4
15.7988,1.8
15.7353,0.1
15.3961,10.8
16.7186,8.5
13.5287,0.1
13.6469,0.1
13.6746,5.3
15.6674,6.8
14.9193,8.5
14.9252,0.1
15.1743,0.0
16.4286,6.8
15.8535,0.0
15.4452,6.7
16.7778,6.8
18.4311,8.4
14.259,10.8
13.0849,13.9
14.6997,17.0
16.9308,22.2
15.566,23.5
14.6405,25.0
15.5777,26.1
17.1237,29.0
16.3506,29.1
15.838,29.5
17.2594,30.0
17.1334,32.2
13.7214,35.4
12.1958,45.6
13.6414,54.2
14.1945,55.0
13.1905,55.2
13.1127,55.6
13.9159,55.9
14.5275,64.7
14.9062,64.8
14.1888,65.0
15.5997,70.0
13.7414,65.0
11.8908,0.0
10.6334,2.8
18.0928,0.0
16.4375,0.0
16.767,8.2
13.3528,0.0
14.9837,2.1
14.658,8.2
15.5428,2.1
14.6648,0.0
14.9106,3.6
14.4538,2.2
13.6472,0.0
13.4769,0.1
13.5482,0.0
12.7587,0.0
13.935,2.2
12.9466,3.7
13.3763,0.0
14.0598,0.0
15.4796,0.0
14.0508,1.6
13.142,0.0
13.5701,1.6
13.7498,2.1
13.0833,0.0
12.6078,0.1
12.4812,0.0
13.7666,0.0
12.9237,0.1
12.3185,0.0
12.8478,0.0
13.6264,0.0
